Relative Path,File Name,Extension,File Size (bytes),Package,Test,Dimensions (pixels),Colour,Cardinality,Subject,Fingerprint Type,Gender,Eyes,Mouth,Background,Facing,Rotation,Same subject,Same image as,Other,,,RGB_bytes_match,RGBA_bytes_match,BW_bytes_match,bytes_match,skip_bytes_checks
\assets\common,eye3.data,.data,"307,200",com.gemalto.cogent.test.iris,DBIris,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye3.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye3.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisThreadSafetyTest.setUpClass,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye4.data,.data,"307,200",com.gemalto.cogent.test.iris,DBIris,640x480,BW,One,Right Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye4.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisAPITest.testTrackResultsSingleFast,640x480,BW,One,Right Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye4.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,640x480,BW,One,Right Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye4.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisThreadSafetyTest.setUpClass,640x480,BW,One,Right Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye4.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisThreadSafetyTest.testThreadSafetyTrackResultsSingleFast,640x480,BW,One,Right Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye5.data,.data,"307,200",com.gemalto.cogent.test.iris,DBIris,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye5.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye6.data,.data,"307,200",com.gemalto.cogent.test.iris,DBIris,640x480,BW,One,Right Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye6.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,640x480,BW,One,Right Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye7.data,.data,"307,200",com.gemalto.cogent.test.iris,DBIris,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye7.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye8.data,.data,"307,200",com.gemalto.cogent.test.iris,DBIris,640x480,BW,One,Right Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye8.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,640x480,BW,One,Right Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye9.data,.data,"307,200",com.gemalto.cogent.test.iris,DBIris,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye9.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,face1.data,.data,"844,800",com.gemalto.cogent.benchmarktest.facelite,FaceBenchMarkTest.setUpClass,400x528,RGBA,One,Face,,Woman,Open,Smiling,White,Front,,2.data,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,face1.data,.data,"844,800",com.gemalto.cogent.test.facelite,DBFace,400x528,RGBA,One,Face,,Woman,Open,Smiling,White,Front,,2.data,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,face1.data,.data,"844,800",com.gemalto.cogent.test.facelite,FaceBenchMarkDB,400x528,RGBA,One,Face,,Woman,Open,Smiling,White,Front,,2.data,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,face1.data,.data,"844,800",com.gemalto.cogent.test.facelite,FaceLiteAPITest.testFaceTracking,400x528,RGBA,One,Face,,Woman,Open,Smiling,White,Front,,2.data,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,face1.data,.data,"844,800",com.gemalto.cogent.test.facelite,FaceLiteAPITest.testAssessFace,400x528,RGBA,One,Face,,Woman,Open,Smiling,White,Front,,2.data,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,face1.data,.data,"844,800",com.gemalto.cogent.test.facelite,FaceTemplateTest.setUpClass,400x528,RGBA,One,Face,,Woman,Open,Smiling,White,Front,,2.data,,old,,,FALSE,TRUE,FALSE,TRUE,FALSE
