Relative Path,File Name,File Extension,File Size,Package,Test,Dimensions
common,FVC2000_Db1_100_5.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerAPITest.testNFIQ2,NF
common,FVC2000_Db1_100_6.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerAPITest.testNFIQ1,NF
common,FVC2000_Db1_100_6.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerAPITest.testNFIQ2,NF
common,FVC2000_Db1_100_7.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerAPITest.testNFIQ1,NF
common,FVC2000_Db1_100_7.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerAPITest.testNFIQ2,NF
common,FVC2000_Db1_100_8.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerAPITest.testNFIQ1,NF
common,FVC2000_Db1_100_8.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerAPITest.testNFIQ2,NF
common,head-tilt.data,.data,708708,NF,NF,NF
common,iris1.raw,.raw,76800,com.gemalto.cogent.test.face,FaceAPITest_NT.testLivenessSilentIncorrectImageParam,NF
common,iris2.raw,.raw,76800,NF,NF,NF
common,iris3.raw,.raw,76800,NF,NF,NF
common,irisBoth.raw,.raw,384000,com.gemalto.cogent.test.face,FaceAPITest_NT.testLivenessSilentIncorrectlivenessParam,NF
common,irisBoth.raw,.raw,384000,com.gemalto.cogent.test.iris,IrisAPITest.testTrackResultsBoth,1600x240
